PROP_PP0101_SOBRE_TOTAL_DEVENGADO,Partial_Dependence,Cambio_Absoluto,Cambio_Porcentual (%)
0.0,0.650112,,
0.0019,0.790067,0.139954,21.53
0.0038,0.789302,-0.000764,-0.1
0.0057,0.792242,0.00294,0.37
0.007601,0.792895,0.000652,0.08
0.009501,0.80018,0.007286,0.92
0.011401,0.800492,0.000312,0.04
0.013301,0.800523,3.1e-05,0.0
0.015201,0.800792,0.00027,0.03
0.017101,0.800916,0.000123,0.02
0.019002,0.80147,0.000554,0.07
0.020902,0.801968,0.000498,0.06
0.022802,0.802891,0.000923,0.12
0.024702,0.802829,-6.1e-05,-0.01
0.026602,0.802639,-0.000191,-0.02
0.028502,0.802708,6.9e-05,0.01
0.030402,0.802948,0.000241,0.03
0.032303,0.802788,-0.00016,-0.02
0.034203,0.80268,-0.000107,-0.01
0.036103,0.80268,0.0,0.0
0.038003,0.800513,-0.002168,-0.27
0.039903,0.799423,-0.001089,-0.14
0.041803,0.799055,-0.000369,-0.05
0.043703,0.799055,0.0,0.0
0.045604,0.79893,-0.000125,-0.02
0.047504,0.797349,-0.001581,-0.2
0.049404,0.797178,-0.000172,-0.02
0.051304,0.796232,-0.000946,-0.12
0.053204,0.796123,-0.000109,-0.01
0.055104,0.794276,-0.001847,-0.23
0.057005,0.794346,7e-05,0.01
0.058905,0.793035,-0.001311,-0.16
0.060805,0.79192,-0.001115,-0.14
0.062705,0.791105,-0.000816,-0.1
0.064605,0.787968,-0.003137,-0.4
0.066505,0.788091,0.000124,0.02
0.068405,0.788213,0.000122,0.02
0.070306,0.789712,0.001499,0.19
0.072206,0.801663,0.011951,1.51
0.074106,0.803158,0.001495,0.19
0.076006,0.806861,0.003703,0.46
0.077906,0.806835,-2.7e-05,-0.0
0.079806,0.806835,0.0,0.0
0.081707,0.806835,0.0,0.0
0.083607,0.806835,0.0,0.0
0.085507,0.806835,0.0,0.0
0.087407,0.807112,0.000277,0.03
0.089307,0.807112,0.0,0.0
0.091207,0.807112,0.0,0.0
0.093107,0.807259,0.000148,0.02
0.095008,0.808776,0.001517,0.19
0.096908,0.808776,0.0,0.0
0.098808,0.808776,0.0,0.0
0.100708,0.809587,0.00081,0.1
0.102608,0.809616,3e-05,0.0
0.104508,0.809985,0.000369,0.05
0.106409,0.809985,0.0,0.0
0.108309,0.810571,0.000586,0.07
0.110209,0.810571,0.0,0.0
0.112109,0.811649,0.001077,0.13
0.114009,0.811649,0.0,0.0
0.115909,0.811649,0.0,0.0
0.117809,0.811649,0.0,0.0
0.11971,0.811649,0.0,0.0
0.12161,0.811649,0.0,0.0
0.12351,0.811649,0.0,0.0
0.12541,0.811649,0.0,0.0
0.12731,0.811649,0.0,0.0
0.12921,0.811593,-5.6e-05,-0.01
0.13111,0.811569,-2.3e-05,-0.0
0.133011,0.811569,0.0,0.0
0.134911,0.811437,-0.000133,-0.02
0.136811,0.811326,-0.000111,-0.01
0.138711,0.811326,0.0,0.0
0.140611,0.811315,-1.1e-05,-0.0
0.142511,0.811315,0.0,0.0
0.144412,0.811315,0.0,0.0
0.146312,0.811297,-1.8e-05,-0.0
0.148212,0.811297,0.0,0.0
0.150112,0.810919,-0.000378,-0.05
0.152012,0.810919,0.0,0.0
0.153912,0.810812,-0.000107,-0.01
0.155812,0.810812,0.0,0.0
0.157713,0.810812,0.0,0.0
0.159613,0.810812,0.0,0.0
0.161513,0.810812,0.0,0.0
0.163413,0.81056,-0.000252,-0.03
0.165313,0.810541,-1.9e-05,-0.0
0.167213,0.810541,0.0,0.0
0.169114,0.810541,0.0,0.0
0.171014,0.810541,0.0,0.0
0.172914,0.810541,0.0,0.0
0.174814,0.810541,0.0,0.0
0.176714,0.810392,-0.000149,-0.02
0.178614,0.810392,0.0,0.0
0.180514,0.810392,0.0,0.0
0.182415,0.810156,-0.000235,-0.03
0.184315,0.810156,0.0,0.0
0.186215,0.810156,0.0,0.0
0.188115,0.810156,0.0,0.0
