PROP_PP0101_SOBRE_TOTAL_PIM,Partial_Dependence,Cambio_Absoluto,Cambio_Porcentual (%)
0.000622,0.70551,,
0.002379,0.746313,0.040804,5.78
0.004135,0.748333,0.00202,0.27
0.005891,0.762202,0.013869,1.85
0.007648,0.755783,-0.006418,-0.84
0.009404,0.765958,0.010175,1.35
0.01116,0.775477,0.009518,1.24
0.012917,0.775082,-0.000394,-0.05
0.014673,0.790048,0.014966,1.93
0.016429,0.791749,0.001701,0.22
0.018186,0.796535,0.004786,0.6
0.019942,0.796146,-0.000389,-0.05
0.021699,0.795694,-0.000452,-0.06
0.023455,0.797228,0.001534,0.19
0.025211,0.797899,0.000671,0.08
0.026968,0.797873,-2.6e-05,-0.0
0.028724,0.799722,0.001849,0.23
0.03048,0.80026,0.000537,0.07
0.032237,0.800379,0.00012,0.01
0.033993,0.800993,0.000614,0.08
0.03575,0.801461,0.000468,0.06
0.037506,0.80238,0.000919,0.11
0.039262,0.80189,-0.00049,-0.06
0.041019,0.801831,-5.9e-05,-0.01
0.042775,0.800746,-0.001085,-0.14
0.044531,0.801696,0.000949,0.12
0.046288,0.804334,0.002639,0.33
0.048044,0.805156,0.000821,0.1
0.049801,0.80546,0.000305,0.04
0.051557,0.805515,5.5e-05,0.01
0.053313,0.806204,0.000688,0.09
0.05507,0.809391,0.003187,0.4
0.056826,0.808473,-0.000918,-0.11
0.058582,0.807842,-0.000631,-0.08
0.060339,0.810383,0.002541,0.31
0.062095,0.812661,0.002278,0.28
0.063851,0.815412,0.002751,0.34
0.065608,0.818692,0.00328,0.4
0.067364,0.818854,0.000162,0.02
0.069121,0.818436,-0.000419,-0.05
0.070877,0.819182,0.000747,0.09
0.072633,0.819384,0.000201,0.02
0.07439,0.820157,0.000773,0.09
0.076146,0.819932,-0.000224,-0.03
0.077902,0.819557,-0.000375,-0.05
0.079659,0.819768,0.000211,0.03
0.081415,0.81995,0.000182,0.02
0.083172,0.820004,5.4e-05,0.01
0.084928,0.82051,0.000505,0.06
0.086684,0.820882,0.000373,0.05
0.088441,0.820622,-0.00026,-0.03
0.090197,0.820379,-0.000242,-0.03
0.091953,0.820739,0.000359,0.04
0.09371,0.820575,-0.000164,-0.02
0.095466,0.819599,-0.000976,-0.12
0.097223,0.820448,0.00085,0.1
0.098979,0.82145,0.001001,0.12
0.100735,0.821469,1.9e-05,0.0
0.102492,0.821617,0.000148,0.02
0.104248,0.822011,0.000394,0.05
0.106004,0.822037,2.6e-05,0.0
0.107761,0.822412,0.000375,0.05
0.109517,0.822385,-2.7e-05,-0.0
0.111273,0.822684,0.000299,0.04
0.11303,0.822757,7.2e-05,0.01
0.114786,0.823256,0.000499,0.06
0.116543,0.823493,0.000238,0.03
0.118299,0.823725,0.000232,0.03
0.120055,0.823919,0.000194,0.02
0.121812,0.823987,6.7e-05,0.01
0.123568,0.824007,2e-05,0.0
0.125324,0.824031,2.4e-05,0.0
0.127081,0.823807,-0.000224,-0.03
0.128837,0.823117,-0.00069,-0.08
0.130594,0.823004,-0.000113,-0.01
0.13235,0.821565,-0.001439,-0.17
0.134106,0.819407,-0.002158,-0.26
0.135863,0.819288,-0.000119,-0.01
0.137619,0.81802,-0.001268,-0.15
0.139375,0.817699,-0.000321,-0.04
0.141132,0.81876,0.001061,0.13
0.142888,0.820462,0.001702,0.21
0.144645,0.82439,0.003927,0.48
0.146401,0.824544,0.000154,0.02
0.148157,0.825219,0.000675,0.08
0.149914,0.824749,-0.00047,-0.06
0.15167,0.825107,0.000358,0.04
0.153426,0.825342,0.000235,0.03
0.155183,0.826938,0.001596,0.19
0.156939,0.82938,0.002442,0.3
0.158695,0.82933,-5.1e-05,-0.01
0.160452,0.82933,0.0,0.0
0.162208,0.829399,6.9e-05,0.01
0.163965,0.829253,-0.000146,-0.02
0.165721,0.829063,-0.00019,-0.02
0.167477,0.828961,-0.000102,-0.01
0.169234,0.828856,-0.000105,-0.01
0.17099,0.828889,3.3e-05,0.0
0.172746,0.82882,-7e-05,-0.01
0.174503,0.828772,-4.7e-05,-0.01
